Name,playerid,tot
Gerrit Cole,13125,1121.0500000000002
Jacob deGrom,10954,1104.6000000000004
Max Scherzer,3137,1087.3500000000004
Justin Verlander,8700,1021.1999999999998
Chris Sale,10603,950.6999999999998
Walker Buehler,19374,929.2
Charlie Morton,4676,926.0000000000002
Mike Clevinger,12808,903.45
Stephen Strasburg,10131,890.35
Patrick Corbin,9323,889.9
Jack Flaherty,17479,889.0
Blake Snell,13543,881.4000000000001
Shane Bieber,19427,880.1500000000001
Trevor Bauer,12703,875.3
Clayton Kershaw,2036,873.8499999999999
Aaron Nola,16149,867.9500000000003
Noah Syndergaard,11762,851.2500000000002
Yu Darvish,13074,843.7
Luis Castillo,15689,829.7
Dinelson Lamet,17186,807.3
James Paxton,11828,785.05
Lance Lynn,2520,780.0
Tyler Glasnow,14374,765.8
Brandon Woodruff,16162,765.3
Max Fried,13743,760.9999999999998
Eduardo Rodriguez,13164,754.0000000000001
Robbie Ray,11486,744.5499999999998
German Marquez,15038,743.5
Corey Kluber,2429,738.9
Sonny Gray,12768,734.2
Garrett Richards,9784,727.4000000000001
Luis Severino,15890,725.6000000000001
Andrew Heaney,15423,722.4000000000001
Lucas Giolito,15474,718.0
Zack Wheeler,10310,717.0000000000002
Mike Soroka,18383,716.0000000000001
Marcus Stroman,13431,714.2
Jon Gray,14916,709.2
Frankie Montas,14309,707.5
Chris Archer,6345,696.0
Miles Mikolas,9803,692.6000000000001
Chris Paddack,20099,685.1999999999999
Zack Greinke,1943,680.8
Jose Berrios,14168,679.0500000000002
Collin McHugh,7531,675.0500000000001
Carlos Carrasco,6632,674.6
Matthew Boyd,15440,667.7
Johnny Cueto,6893,656.5
Hyun-Jin Ryu,14444,648.6
Dallas Keuchel,9434,647.6000000000001
Joe Musgrove,12970,640.2
Joey Lucchesi,19320,636.7
Mike Minor,10021,635.0
Lance McCullers Jr.,14120,630.7
Kyle Gibson,10123,626.8999999999999
David Price,3184,624.5
Steven Matz,13361,614.0999999999999
Kyle Hendricks,12049,612.1000000000001
Freddy Peralta,18679,610.0
Jose Quintana,11423,607.9999999999998
Shohei Ohtani,19755,606.3000000000001
Kenta Maeda,18498,603.0499999999997
Zac Gallen,19291,600.3
Adrian Houser,12718,594.25
Caleb Smith,14875,586.6000000000001
Cole Hamels,4972,586.4000000000001
Jesus Luzardo,19959,582.4000000000001
Nick Pivetta,15454,580.2499999999999
Julio Urias,14765,576.3499999999999
Mike Leake,10130,576.0
Rich Hill,4806,573.6000000000001
Pablo Lopez,17085,573.0999999999999
Chris Bassitt,12304,572.0999999999999
Jeff Samardzija,3254,571.0500000000001
Martin Perez,6902,570.8499999999999
Griffin Canning,19867,570.2
Sandy Alcantara,18684,569.3
Mitch Keller,17594,568.6999999999999
Nathan Eovaldi,9132,566.5000000000002
Carlos Martinez,11682,566.1499999999999
Madison Bumgarner,5524,558.9999999999999
Masahiro Tanaka,15764,558.8999999999999
Jake Odorizzi,6397,558.4999999999998
Mike Foltynewicz,10811,551.2
Jakob Junis,13619,551.0999999999999
Brad Keller,15734,550.4999999999998
Spencer Turnbull,16207,548.3499999999999
Michael Pineda,5372,546.8
Merrill Kelly,11156,546.7000000000002
Anthony DeSclafani,13050,544.5999999999999
Tyler Anderson,12880,544.5
Dylan Cease,18525,543.1999999999998
Danny Duffy,3542,542.0999999999999
Marco Gonzales,15467,538.25
Jon Lester,4930,535.9
Josh Hader,14212,532.2
Liam Hendriks,3548,526.9000000000001
Edwin Diaz,14710,524.2
Rick Porcello,2717,523.3
Aroldis Chapman,10233,520.7
Sean Newcomb,16943,518.9499999999998
Ross Stripling,13273,518.1499999999999
Dakota Hudson,19206,516.9
Adam Wainwright,2233,512.9000000000001
Jose Urquidy,18413,511.1
Luke Weaver,16918,507.1999999999998
Jake Arrieta,4153,502.8
Tanner Roark,8753,497.8000000000002
Kirby Yates,9073,496.8
Jose Urena,11589,496.3
Austin Voth,15047,495.69999999999993
Craig Kimbrel,6655,489.90000000000003
Homer Bailey,8362,489.2
Andrew Cashner,8782,482.40000000000003
Reynaldo Lopez,16400,480.95000000000005
Yusei Kikuchi,20633,477.9
Patrick Sandoval,19447,468.09999999999997
