"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","SB","CS","AVG","OBP","SLG","OPS","wOBA","playerid"
"Mike Trout","Angels","151","651","515","154","29","3","43","117","105","118","132","14","4",".298",".437",".617","1.054",".430","10155"
"Christian Yelich","Brewers","148","646","553","170","33","4","36","110","98","81","132","24","6",".308",".401",".577",".978",".404","11477"
"Juan Soto","Nationals","153","664","550","160","32","3","36","106","108","105","130","10","3",".292",".405",".557",".962",".400","20123"
"Cody Bellinger","Dodgers","153","645","551","159","32","4","42","110","111","87","123","14","4",".289",".387",".586",".974",".397","15998"
"Alex Bregman","Astros","155","674","559","161","36","2","33","110","104","99","86","6","3",".289",".400",".542",".942",".393","17678"
"J.D. Martinez","Red Sox","149","636","560","169","33","2","38","96","111","67","143","2","1",".303",".378",".572",".950",".390","6184"
"Freddie Freeman","Braves","154","664","572","170","35","3","34","101","105","81","125","6","3",".297",".389",".548",".936",".387","5361"
"Aaron Judge","Yankees","146","636","526","141","24","2","40","104","94","99","195","5","3",".268",".387",".545",".932",".385","15640"
"Yordan Alvarez","Astros","147","619","535","150","30","1","39","91","108","75","154","2","1",".281",".371",".564",".934",".384","19556"
"Mookie Betts","Dodgers","151","672","575","168","38","4","31","121","84","85","96","19","5",".293",".385",".533",".918",".381","13611"
"Nolan Arenado","Rockies","153","655","579","172","34","3","38","99","114","63","101","2","2",".298",".367",".563",".930",".381","9777"
"Anthony Rendon","Angels","150","645","553","162","37","2","29","97","103","75","90","4","2",".292",".381",".527",".907",".377","12861"
"Nelson Cruz","Twins","131","560","491","138","24","1","36","82","101","56","134","0","1",".281",".362",".550",".911",".375","2434"
"Bryce Harper","Phillies","152","653","541","142","30","1","36","100","103","101","163","12","4",".263",".380",".521",".902",".374","11579"
"Josh Donaldson","Twins","146","624","523","137","28","1","33","90","94","91","145","4","2",".263",".376",".510",".886",".372","5038"
"Anthony Rizzo","Cubs","151","643","546","155","30","3","28","93","95","73","89","5","3",".284",".384",".501",".886",".371","3473"
"Joey Gallo","Rangers","141","577","484","113","21","2","41","86","92","86","212","6","3",".234",".354",".542",".896",".370","14128"
"Josh Bell","Pirates","150","630","541","148","32","3","32","86","100","79","118","1","1",".274",".368",".523",".891",".370","13145"
"Ronald Acuna Jr.","Braves","153","674","594","167","28","4","36","108","93","69","172","34","10",".282",".361",".523",".885",".369","18401"
"Charlie Blackmon","Rockies","141","620","560","167","32","6","28","103","79","46","110","4","3",".298",".359",".528",".887",".369","7859"
"Kris Bryant","Cubs","149","644","551","152","33","3","29","101","84","75","147","4","2",".275",".375",".500",".875",".368","15429"
"George Springer","Astros","145","639","555","153","25","2","34","107","90","71","128","7","3",".276",".364",".515",".879",".368","12856"
"Rafael Devers","Red Sox","154","651","599","178","42","3","33","106","105","45","123","7","4",".296",".349",".539",".888",".367","17350"
"Trevor Story","Rockies","150","642","578","162","37","5","34","99","93","55","173","20","7",".281",".347",".537",".885",".366","12564"
"Giancarlo Stanton","Yankees","133","565","491","130","23","1","38","84","98","62","167","2","1",".265",".351",".549",".900",".365","4949"
"Peter Alonso","Mets","151","652","565","144","29","1","42","96","107","68","169","1","1",".254",".348",".534",".882",".365","19251"
"Justin Turner","Dodgers","126","536","465","134","26","1","23","77","72","52","80","3","1",".288",".372",".498",".870",".365","5235"
"Jose Altuve","Astros","145","630","567","172","32","3","24","97","82","52","91","10","4",".302",".365",".499",".864",".363","5417"
"Kyle Schwarber","Cubs","139","568","488","123","23","2","35","79","86","71","151","2","2",".251",".349",".526",".875",".362","16478"
"Xander Bogaerts","Red Sox","153","653","579","169","38","2","26","93","99","63","115","6","2",".293",".364",".501",".865",".362","12161"
"Jose Ramirez","Indians","152","643","563","155","38","4","30","93","98","69","82","27","7",".276",".356",".517",".873",".361","13510"
"Max Muncy","Dodgers","144","593","495","123","22","1","32","92","88","87","153","4","2",".248",".365",".492",".857",".361","13301"
"Eugenio Suarez","Reds","144","606","526","138","22","2","36","83","93","66","160","2","2",".263",".351",".518",".869",".361","12552"
"Austin Meadows","Rays","145","609","548","153","31","5","31","86","83","51","128","14","6",".280",".345",".524",".870",".361","15672"
"Ketel Marte","Diamondbacks","151","633","572","169","32","8","24","89","79","54","88","10","3",".295",".359",".504",".862",".360","13613"
"Rhys Hoskins","Phillies","155","666","552","133","29","2","36","90","95","99","157","3","2",".240",".362",".497",".859",".360","16472"
"Vladimir Guerrero Jr.","Blue Jays","151","628","562","165","34","2","25","79","89","58","100","1","1",".294",".363",".492",".856",".360","19611"
"Jesse Winker","Reds","121","446","387","110","20","1","17","59","52","51","70","1","1",".284",".374",".472",".846",".360","13590"
"Paul Goldschmidt","Cardinals","156","660","572","156","29","2","31","93","93","80","160","4","2",".272",".365",".494",".860",".359","9218"
"Matt Olson","Athletics","150","627","550","141","29","1","38","85","100","65","158","0","1",".256",".343",".520",".863",".358","14344"
"Michael Conforto","Mets","149","631","538","138","28","1","34","88","90","80","150","6","2",".256",".358",".499",".858",".358","16376"
"Shohei Ohtani","Angels","114","473","425","119","24","3","23","65","74","41","122","12","4",".279",".344",".513",".857",".356","19755"
"Jorge Soler","Royals","150","624","543","140","28","1","35","82","95","69","167","3","2",".257",".347",".505",".852",".356","14221"
"Eloy Jimenez","White Sox","147","609","560","157","29","2","36","84","96","40","142","0","1",".280",".330",".531",".862",".356","17484"
"Carlos Santana","Indians","155","658","551","142","29","2","28","93","90","99","101","3","1",".258",".373",".467",".840",".355","2396"
"Francisco Lindor","Indians","155","688","619","176","38","3","33","108","89","55","100","22","7",".284",".345",".514",".859",".355","12916"
"Tommy Pham","Padres","143","618","534","147","27","4","22","87","70","74","130","23","6",".276",".369",".462",".831",".354","2967"
"Carlos Correa","Astros","137","584","510","138","28","2","29","80","94","63","131","3","1",".271",".351",".504",".855",".354","14162"
"Matt Chapman","Athletics","153","651","572","146","36","3","34","96","92","67","153","1","1",".255",".340",".509",".849",".354","16505"
"Alex Verdugo","Red Sox","130","519","467","141","30","2","16","65","61","42","71","5","3",".302",".361",".478",".839",".354","17027"
"Howie Kendrick","Nationals","95","319","292","90","17","1","10","43","44","21","50","2","1",".307",".357",".480",".837",".353","4229"
"Joc Pederson","Dodgers","115","445","389","97","20","2","26","68","65","46","95","2","1",".249",".338",".506",".844",".352","11899"
"Jeff McNeil","Mets","145","616","556","164","34","3","20","88","73","39","82","7","4",".294",".356",".475",".831",".351","15362"
"Miguel Sano","Twins","130","541","472","114","22","2","35","78","88","62","193","0","1",".242",".333",".518",".852",".351","12164"
"Mike Ford","Yankees","57","222","194","50","9","0","11","31","32","25","41","0","0",".257",".350",".481",".830",".350","15585"
"Gleyber Torres","Yankees","150","620","557","152","27","1","33","89","96","52","136","6","3",".273",".337",".504",".841",".350","16997"
"Fernando Tatis Jr.","Padres","143","618","555","151","26","6","29","93","77","52","174","24","9",".273",".340",".497",".837",".349","19709"
"Edwin Encarnacion","White Sox","129","549","472","116","19","1","33","78","90","64","121","1","1",".246",".342",".497",".839",".349","2151"
"Andrew McCutchen","Phillies","132","572","485","126","25","2","22","83","67","77","121","5","3",".260",".367",".455",".822",".349","9847"
"Manny Machado","Padres","155","666","595","161","29","2","33","86","97","61","118","6","3",".271",".341",".497",".838",".349","11493"
"Franmil Reyes","Indians","144","573","514","134","22","1","36","76","89","51","155","0","1",".260",".326",".518",".844",".348","14566"
"Luke Voit","Yankees","122","502","436","112","20","1","23","66","66","58","135","0","0",".257",".352",".470",".821",".348","14811"
"Mitch Garver","Twins","109","422","371","95","20","1","21","62","61","44","101","0","0",".256",".340",".491",".830",".348","15161"
"Marcell Ozuna","Braves","142","607","545","149","26","2","30","83","95","56","123","9","2",".273",".342",".491",".833",".348","10324"
"David Dahl","Rockies","121","502","457","128","28","5","22","72","70","34","129","7","4",".280",".333",".506",".838",".348","13744"
"Mark Canha","Athletics","131","519","447","113","23","2","23","72","64","57","118","3","2",".253",".352",".467",".819",".347","11445"
"Joey Votto","Reds","143","614","516","140","29","1","18","81","64","88","112","4","1",".271",".380",".436",".816",".347","4314"
"Michael Brantley","Astros","142","609","550","163","34","2","19","83","83","48","67","5","2",".296",".355",".467",".822",".347","4106"
"Keston Hiura","Brewers","147","618","562","154","33","3","28","84","84","42","170","13","5",".275",".336",".492",".828",".346","20003"
"Nicholas Castellanos","Reds","147","634","582","162","41","3","27","86","87","43","142","2","1",".279",".332",".501",".832",".346","11737"
"Bryan Reynolds","Pirates","149","629","565","164","34","4","18","84","73","53","137","5","3",".291",".356",".462",".817",".346","19326"
"Ozzie Albies","Braves","156","670","613","176","37","7","23","96","80","47","108","17","5",".287",".341",".481",".823",".345","16556"
"Corey Seager","Dodgers","133","559","500","139","34","1","21","79","80","50","101","2","1",".278",".346",".480",".826",".344","13624"
"Trey Mancini","Orioles","153","648","583","159","30","2","29","86","86","53","145","1","1",".273",".338",".483",".821",".344","15149"
"Adam Eaton","Nationals","136","584","509","144","26","5","13","87","55","58","99","13","3",".284",".368",".431",".799",".344","11205"
"Trea Turner","Nationals","147","654","596","171","34","6","20","100","69","52","125","39","9",".287",".348",".464",".812",".344","16252"
"Yasmani Grandal","White Sox","139","549","462","111","21","2","24","70","73","79","129","3","1",".240",".353",".451",".804",".343","11368"
"Max Kepler","Twins","144","609","535","135","31","2","29","92","82","63","104","3","3",".253",".337",".480",".816",".342","12144"
