"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","AVG","OBP","SLG","OPS","wOBA","Fld","BsR","WAR","playerid"
"Mike Trout","Angels","163","686","538","159","30","3","45","123","115","128","138","12","14","5",".296",".439",".610","1.048",".426","-1.8","3.3","8.9","10155"
"Mookie Betts","Red Sox","160","672","572","169","40","4","31","116","93","85","97","5","18","5",".296",".389",".542",".931",".386","12.2","4.7","6.5","13611"
"Alex Bregman","Astros","157","658","547","157","38","2","32","109","99","94","84","9","6","3",".287",".396",".540",".936",".391","-1.5","0.1","6.4","17678"
"Francisco Lindor","Indians","158","665","594","171","38","2","34","106","94","57","96","5","20","7",".288",".353",".530",".883",".364","8.0","0.5","5.8","12916"
"Christian Yelich","Brewers","158","665","565","172","34","3","36","109","99","85","136","7","22","7",".304",".399",".567",".966",".397","0.6","3.4","5.6","11477"
"Anthony Rendon","","158","665","571","164","39","3","28","93","96","78","95","9","4","2",".288",".379",".516",".895",".373","4.4","0.9","5.6","12861"
"Cody Bellinger","Dodgers","157","658","559","160","31","3","43","102","116","89","120","4","13","5",".286",".385",".582",".967",".391","2.5","1.2","5.6","15998"
"Matt Chapman","Athletics","160","672","585","150","36","3","35","96","99","70","158","9","3","1",".256",".342",".508",".851",".355","7.8","1.4","5.6","16505"
"Carlos Correa","Astros","153","644","561","153","32","2","34","95","107","73","139","5","3","1",".273",".359",".517",".876",".365","-1.1","0.9","5.4","14162"
"Aaron Judge","Yankees","157","658","544","138","23","1","40","105","100","100","203","6","6","3",".253",".372",".523",".895",".372","8.2","0.5","5.2","15640"
"Jose Ramirez","Indians","157","658","573","159","40","3","31","97","102","73","86","5","24","8",".277",".361",".521",".883",".365","2.7","4.0","5.2","13510"
"Juan Soto","Nationals","160","672","554","161","32","4","35","101","104","106","127","4","9","4",".291",".406",".554",".960",".398","-2.0","0.1","5.1","20123"
"Nolan Arenado","Rockies","162","679","599","177","37","3","41","104","117","69","110","5","4","2",".296",".370",".571",".941",".384","5.6","0.5","5.0","9777"
"Giancarlo Stanton","Yankees","153","644","559","150","25","1","51","107","121","71","189","7","3","1",".267",".355",".589",".944",".385","1.3","-0.4","4.9","4949"
"George Springer","Astros","153","644","552","151","27","2","33","106","86","74","128","8","7","3",".273",".364",".509",".873",".366","-0.9","0.7","4.8","12856"
"Xander Bogaerts","Red Sox","158","665","584","170","40","1","26","95","97","68","117","5","6","2",".291",".367",".498",".865",".363","-2.6","1.6","4.8","12161"
"Yasmani Grandal","","143","600","501","122","24","2","27","76","80","88","141","4","4","2",".244",".358",".460",".818",".347","0.1","-3.5","4.7","11368"
"Kris Bryant","Cubs","157","658","555","152","34","2","31","100","89","80","147","15","4","2",".273",".376",".507",".883",".371","-2.3","2.9","4.7","15429"
"Rafael Devers","Red Sox","153","644","584","175","42","3","32","93","105","49","114","4","9","5",".299",".354",".545",".899",".369","-1.0","1.4","4.7","17350"
"Manny Machado","Padres","162","679","603","164","29","3","38","96","100","65","122","4","7","3",".271",".343",".517",".860",".355","5.0","-0.6","4.6","11493"
"Josh Donaldson","","153","644","535","137","28","1","35","98","87","95","154","6","4","2",".257",".371",".505",".877",".368","0.8","-0.4","4.5","5038"
"Ketel Marte","Diamondbacks","160","672","600","178","35","8","24","86","89","58","92","5","9","3",".296",".360",".500",".859",".359","2.0","1.0","4.4","13613"
"Bryce Harper","Phillies","158","665","546","141","29","1","41","103","104","107","166","5","11","4",".259",".383",".539",".922",".379","0.0","0.3","4.3","11579"
"Freddie Freeman","Braves","160","672","576","169","37","2","34","100","104","82","128","7","6","3",".293",".385",".541",".925",".381","3.6","0.5","4.3","5361"
"Ronald Acuna Jr.","Braves","158","665","580","163","28","3","36","105","90","68","162","7","29","11",".282",".362",".526",".888",".369","1.6","2.9","4.2","18401"
"Corey Seager","Dodgers","152","637","565","157","38","1","24","92","78","58","115","6","2","1",".278",".349",".477",".826",".346","-0.1","1.8","4.2","13624"
"J.T. Realmuto","Phillies","128","539","487","131","28","2","23","70","74","38","112","7","6","2",".269",".328",".476",".804",".336","5.2","1.7","4.2","11739"
"Jose Altuve","Astros","157","658","588","174","33","4","24","96","93","56","97","7","12","4",".295",".360",".486",".846",".356","-4.4","-0.6","4.1","5417"
"Anthony Rizzo","Cubs","160","672","566","160","33","3","32","100","100","79","95","21","6","3",".283",".388",".521",".909",".380","4.0","-2.3","4.1","3473"
"Ozzie Albies","Braves","158","665","601","172","38","6","24","93","82","49","102","5","14","5",".287",".344",".489",".833",".347","4.5","2.7","4.1","16556"
"Marcus Semien","Athletics","160","672","589","158","33","4","25","95","82","69","110","3","12","5",".269",".347",".464",".811",".342","-5.1","1.3","4.0","12533"
"Trea Turner","Nationals","160","672","601","174","36","4","21","98","74","56","125","5","38","10",".290",".353",".470",".824",".347","-2.6","4.9","4.0","16252"
"Trevor Story","Rockies","158","665","594","166","37","4","37","95","109","58","176","6","20","8",".279",".346",".540",".886",".366","0.1","1.8","3.9","12564"
"J.D. Martinez","Red Sox","157","658","578","174","35","2","40","104","119","70","150","4","3","1",".301",".377",".575",".952",".390","-0.2","-3.1","3.8","6184"
"Vladimir Guerrero Jr.","Blue Jays","155","651","577","170","35","2","26","88","89","60","103","5","4","2",".294",".363",".499",".862",".362","-2.9","-1.6","3.8","19611"
"Yoan Moncada","White Sox","155","651","575","153","30","4","27","89","79","62","178","5","12","5",".266",".340",".474",".814",".341","0.2","2.1","3.8","17232"
"Gleyber Torres","Yankees","157","658","586","159","27","1","36","93","102","57","136","5","7","3",".271",".339",".508",".847",".351","-8.9","-0.2","3.7","16997"
"Justin Turner","Dodgers","145","609","530","149","31","1","25","86","83","58","96","15","3","1",".280",".364",".486",".851",".359","-3.3","-0.7","3.7","5235"
"Matt Olson","Athletics","157","658","571","145","30","1","39","93","103","70","162","10","1","1",".254",".343",".513",".856",".354","5.9","-0.7","3.7","14344"
"Yordan Alvarez","Astros","147","616","529","146","29","1","39","97","104","74","150","4","4","1",".275",".365",".554",".919",".376","0.0","-0.1","3.6","19556"
"Max Kepler","Twins","152","637","557","144","34","1","30","88","93","66","109","7","5","3",".259",".343",".489",".832",".349","6.2","1.1","3.6","12144"
"Tommy Pham","Rays","150","630","539","145","26","3","24","88","78","76","138","7","18","6",".269",".365",".460",".825",".350","1.9","1.4","3.6","2967"
"Paul DeJong","Cardinals","158","665","594","150","32","1","30","81","92","53","156","11","7","3",".252",".322",".463",".785",".329","2.7","0.8","3.5","18015"
"Paul Goldschmidt","Cardinals","162","679","581","158","30","2","32","93","95","86","162","6","5","2",".272",".369",".493",".862",".361","1.9","1.3","3.5","9218"
"Andrelton Simmons","Angels","155","651","597","165","32","2","13","72","73","42","61","5","11","4",".277",".328",".403",".730",".312","10.2","-0.3","3.5","10847"
"Fernando Tatis Jr.","Padres","155","651","582","154","24","7","30","81","87","53","175","7","21","9",".264",".331",".482",".813",".340","-2.8","1.2","3.5","19709"
"Michael Conforto","Mets","155","651","549","138","29","1","33","91","90","85","155","9","6","3",".251",".358",".488",".846",".354","-1.7","1.1","3.4","16376"
"Byron Buxton","Twins","143","602","546","143","35","4","22","81","80","42","153","5","26","7",".261",".318",".460",".777",".325","6.3","4.3","3.4","14161"
"Jeff McNeil","Mets","157","658","593","170","36","3","20","86","78","42","88","14","8","4",".288",".347",".461",".808",".341","-0.5","0.9","3.4","15362"
"Javier Baez","Cubs","158","665","618","168","35","4","34","87","102","34","177","4","15","6",".272",".312",".506",".818",".336","-1.7","2.0","3.3","12979"
"Joey Gallo","Rangers","145","609","507","116","22","2","42","89","98","89","214","6","8","3",".230",".349",".531",".879",".362","0.0","2.2","3.3","14128"
"Buster Posey","Giants","121","508","451","124","26","1","11","55","55","47","74","6","2","1",".274",".347",".409",".756",".324","5.6","-2.4","3.3","9166"
"Peter Alonso","Mets","158","665","574","144","27","2","43","93","105","68","168","14","2","1",".251",".342",".531",".873",".359","1.3","-0.5","3.3","19251"
"Bo Bichette","Blue Jays","150","630","574","157","40","3","21","80","80","43","128","4","22","9",".274",".327",".462",".789",".331","-0.7","0.5","3.3","19612"
"Ramon Laureano","Athletics","145","609","546","144","32","1","24","80","78","45","152","9","15","5",".263",".327",".456",".783",".330","0.7","2.4","3.3","17128"
"Marcell Ozuna","","153","644","576","159","27","2","33","85","101","59","134","3","7","3",".276",".344",".502",".846",".353","1.9","0.2","3.2","10324"
"Kyle Schwarber","Cubs","142","595","507","128","23","2","37","86","94","76","158","5","4","2",".253",".353",".526",".879",".361","1.4","0.3","3.2","16478"
"DJ LeMahieu","Yankees","158","665","599","170","30","2","19","91","74","52","97","5","6","3",".285",".344",".434",".778",".332","3.2","-0.6","3.1","9874"
"Joc Pederson","Dodgers","118","497","429","110","22","2","31","74","78","52","105","8","3","1",".255",".345",".536",".881",".364","2.1","0.7","3.1","11899"
"Rhys Hoskins","Phillies","157","658","543","131","27","3","36","98","92","99","153","9","4","2",".242",".365",".498",".863",".361","2.2","0.3","3.0","16472"
"Eugenio Suarez","Reds","160","672","580","146","25","2","37","88","100","75","175","9","3","2",".252",".345",".491",".836",".349","-2.4","-1.9","3.0","12552"
"Eloy Jimenez","White Sox","157","658","602","168","29","3","37","89","101","41","149","5","2","1",".279",".328",".518",".846",".350","-1.4","0.9","3.0","17484"
"Miguel Sano","Twins","142","595","517","127","24","2","38","86","99","69","208","4","1","1",".246",".336",".518",".854",".354","-5.7","-1.5","3.0","12164"
"Max Muncy","Dodgers","143","602","503","121","22","1","30","82","81","85","158","7","4","2",".240",".354",".466",".820",".347","-1.7","1.2","2.9","13301"
"Nelson Cruz","Twins","150","630","552","155","27","1","39","95","112","63","155","10","1","1",".281",".363",".545",".908",".374","0.0","-3.4","2.9","2434"
"Jorge Polanco","Twins","160","672","604","169","36","5","19","88","85","56","111","5","8","4",".280",".343",".452",".795",".336","-9.1","1.1","2.9","13152"
"Willy Adames","Rays","158","665","592","151","27","3","20","76","78","60","161","4","8","3",".256",".326",".414",".739",".315","-1.1","1.2","2.9","15986"
