Name,playerid,tot
Mike Trout,10155,1730.25
Christian Yelich,11477,1571.5
Nolan Arenado,9777,1554.65
Cody Bellinger,15998,1537.1
Mookie Betts,13611,1530.5
J.D. Martinez,6184,1524.25
Giancarlo Stanton,4949,1521.05
Juan Soto,20123,1490.45
Freddie Freeman,5361,1469.85
Alex Bregman,17678,1461.25
Bryce Harper,11579,1453.3
Francisco Lindor,12916,1442.8
Trevor Story,12564,1418.85
Anthony Rizzo,3473,1415.75
Jose Ramirez,13510,1404.2
Ronald Acuna Jr.,18401,1400.4
Rafael Devers,17350,1390.4
Anthony Rendon,12861,1381.55
Kris Bryant,15429,1366.65
Manny Machado,11493,1363.8
Aaron Judge,15640,1359.85
Nelson Cruz,2434,1358.1
Carlos Correa,14162,1336.3
Josh Donaldson,5038,1332.75
Peter Alonso,19251,1329.85
Yordan Alvarez,19556,1329.05
George Springer,12856,1328.3
Rhys Hoskins,16472,1322.3
Paul Goldschmidt,9218,1321.85
Charlie Blackmon,7859,1321.35
Matt Chapman,16505,1320.6
Xander Bogaerts,12161,1315.65
Josh Bell,13145,1307.9
Matt Olson,14344,1300.05
Ketel Marte,13613,1287.2
Ozzie Albies,16556,1282.55
Jose Altuve,5417,1281.85
Jose Abreu,15676,1281.65
Trea Turner,16252,1276.4
Jorge Soler,14221,1269.85
Javier Baez,12979,1262.95
Michael Conforto,16376,1261.6
Carlos Santana,2396,1260.3
Eloy Jimenez,17484,1253.9
Marcell Ozuna,10324,1251.6
Eugenio Suarez,12552,1248.15
Vladimir Guerrero Jr.,19611,1244.5
Joey Gallo,14128,1244.0
Keston Hiura,20003,1230.5
Corey Seager,13624,1224.5
Gleyber Torres,16997,1222.6
Eddie Rosario,12155,1216.3
Trey Mancini,15149,1214.25
Mike Moustakas,4892,1213.9
Kyle Schwarber,16478,1210.95
Miguel Sano,12164,1208.9
Yoan Moncada,17232,1205.45
Khris Davis,9112,1205.4
Marcus Semien,12533,1204.3
Max Kepler,12144,1203.45
Andrew Benintendi,17901,1201.2
Yuli Gurriel,19198,1197.7
Justin Turner,5235,1192.25
Joey Votto,4314,1179.9
Nicholas Castellanos,11737,1171.0
Fernando Tatis Jr.,19709,1170.95
Jeff McNeil,15362,1167.3
Starling Marte,9241,1162.9
Tommy Pham,2967,1162.65
Franmil Reyes,14566,1155.15
Paul DeJong,18015,1151.55
Eduardo Escobar,6153,1150.35
Jorge Polanco,13152,1145.55
Shohei Ohtani,19755,1144.6
Ryan Braun,3410,1128.05
Michael Brantley,4106,1124.55
Whit Merrifield,11281,1121.3
Mitch Haniger,14274,1116.85
Bo Bichette,19612,1116.55
Austin Meadows,15672,1114.1
Lourdes Gurriel Jr.,19238,1113.95
Bryan Reynolds,19326,1113.05
Edwin Encarnacion,2151,1111.1
Yasiel Puig,14225,1106.95
Jean Segura,5933,1096.9
DJ LeMahieu,9874,1096.3
Adam Eaton,11205,1091.2
Brian Anderson,18289,1090.4
Andrew McCutchen,9847,1084.4
David Peralta,2136,1080.7
Justin Upton,5222,1079.8
Max Muncy,13301,1079.45
Mark Canha,11445,1077.6
Jonathan Villar,10071,1073.6
Hunter Dozier,15117,1073.35
Yasmani Grandal,11368,1071.9
Nomar Mazara,14553,1070.1
Daniel Murphy,4316,1064.15
Eric Hosmer,3516,1061.6
Austin Riley,18360,1058.55
Shin-Soo Choo,3174,1052.35
Byron Buxton,14161,1051.6
Aristides Aquino,15482,1050.05
Justin Smoak,9054,1049.4
Corey Dickerson,10762,1047.4
Tim Anderson,15172,1047.15
Ramon Laureano,17128,1045.15
Victor Robles,18363,1044.8
Lorenzo Cain,9077,1041.75
Nick Markakis,5930,1034.3
Joc Pederson,11899,1028.35
Miguel Cabrera,1744,1025.45
Rowdy Tellez,15679,1016.25
Renato Nunez,14503,1010.65
Rougned Odor,12282,1007.8
Didi Gregorius,6012,1006.85
Nick Solak,19294,1006.8
Amed Rosario,15518,1005.45
Dexter Fowler,4062,1004.0
Willie Calhoun,17838,998.8
Jackie Bradley Jr.,12984,998.5
Brandon Lowe,18882,997.1
Kyle Seager,9785,996.65
J.T. Realmuto,11739,996.1
Elvis Andrus,8709,995.1
Randal Grichuk,10243,994.45
Jason Heyward,4940,992.45
Luis Robert,sa3003396,990.75
David Dahl,13744,989.15
Adalberto Mondesi,13769,987.3
Yandy Diaz,16578,987.05
Brandon Belt,10264,986.9
Avisail Garcia,5760,981.7
Cesar Hernandez,10556,977.7
Christian Walker,13419,974.95
Ryan McMahon,15112,974.75
Dansby Swanson,18314,973.55
Robinson Cano,3269,971.4
Kevin Pillar,12434,969.95
Steven Souza Jr.,5667,969.85
Anthony Santander,14551,967.2
Gregory Polanco,12907,967.1
Miguel Andujar,15878,966.85
Willy Adames,15986,966.0
Nick Senzel,19293,959.4
Carter Kieboom,19958,959.25
Brandon Nimmo,12927,953.9
Trent Grisham,18564,953.1
Harold Ramirez,14387,950.25
Andrelton Simmons,10847,947.25
A.J. Pollock,9256,942.8
Kolten Wong,12532,942.4
Nick Ahmed,12147,942.15
Garrett Cooper,15279,941.3
Tyler O'Neill,15711,939.45
Cavan Biggio,19252,937.45
Hunter Renfroe,15464,932.2
Ian Happ,17919,931.1
Evan Longoria,9368,928.0
Travis Shaw,11982,926.0
Kole Calhoun,11200,925.35
Gary Sanchez,11442,924.8
Kevin Kiermaier,11038,918.4
Jonathan Schoop,11265,914.85
Jason Kipnis,9776,913.4
Niko Goodrum,12092,905.4
Alex Verdugo,17027,905.25
Michael Chavis,17321,904.65
Danny Santana,10322,895.65
Domingo Santana,10348,893.35
Brian Dozier,9810,891.85
Adam Frazier,15223,884.1
Jurickson Profar,10815,883.15
Brett Gardner,9927,877.8
Luis Arraez,18568,877.2
Orlando Arcia,13185,876.6
Starlin Castro,4579,876.4
Adam Jones,6368,875.4
Giovanny Urshela,10681,871.55
Salvador Perez,7304,870.3
Isan Diaz,17922,868.7
Oscar Mercado,16375,866.45
Mitch Moreland,3086,861.8
J.D. Davis,16219,857.05
Luis Urias,16622,853.9
Brandon Crawford,5343,850.45
Jesse Winker,13590,848.0
Miguel Rojas,7802,845.95
Matt Carpenter,8090,838.75
J.P. Crawford,15491,838.35
Asdrubal Cabrera,4962,838.3
Hanser Alberto,11902,834.25
Freddy Galvis,6609,832.45
Mike Yastrzemski,14854,830.45
Ryan Zimmerman,4220,829.05
David Fletcher,17992,822.7
Mauricio Dubon,16530,819.0
Todd Frazier,785,817.1
Scott Kingery,17975,809.6
Buster Posey,9166,806.05
Jeimer Candelario,13621,805.25
Scooter Gennett,10339,805.1
Colin Moran,16909,804.6
Kevin Newman,17696,803.25
