Name,playerid,tot
Gerrit Cole,13125,1179.55
Jacob deGrom,10954,1167.0
Max Scherzer,3137,1158.85
Justin Verlander,8700,1107.0
Chris Sale,10603,1010.5
Walker Buehler,19374,994.2
Charlie Morton,4676,983.2
Mike Clevinger,12808,974.95
Stephen Strasburg,10131,959.25
Jack Flaherty,17479,956.6
Shane Bieber,19427,954.25
Patrick Corbin,9323,952.3
Trevor Bauer,12703,948.1
Clayton Kershaw,2036,945.35
Aaron Nola,16149,939.45
Blake Snell,13543,938.6
Noah Syndergaard,11762,914.95
Yu Darvish,13074,908.7
Luis Castillo,15689,894.7
Dinelson Lamet,17186,867.1
James Paxton,11828,861.75
Lance Lynn,2520,850.2
Brandon Woodruff,16162,830.3
Eduardo Rodriguez,13164,829.4
Tyler Glasnow,14374,817.8
Corey Kluber,2429,814.3
German Marquez,15038,813.7
Robbie Ray,11486,813.45
Max Fried,13743,807.8
Lucas Giolito,15474,801.2
Andrew Heaney,15423,800.4
Luis Severino,15890,798.4
Zack Wheeler,10310,795.0
Sonny Gray,12768,791.4
Garrett Richards,9784,779.4
Mike Soroka,18383,778.4
Jon Gray,14916,776.8
Frankie Montas,14309,772.5
Zack Greinke,1943,766.6
Chris Archer,6345,763.6
Jose Berrios,14168,763.55
Miles Mikolas,9803,762.8
Marcus Stroman,13431,761.0
Collin McHugh,7531,756.95
Matthew Boyd,15440,753.5
Chris Paddack,20099,747.6
Carlos Carrasco,6632,737.0
Mike Minor,10021,726.0
Johnny Cueto,6893,721.5
Hyun-Jin Ryu,14444,711.0
Joey Lucchesi,19320,709.5
Joe Musgrove,12970,707.8
Dallas Keuchel,9434,704.8
David Price,3184,689.5
Kyle Hendricks,12049,682.3
Steven Matz,13361,681.7
Kyle Gibson,10123,681.5
Freddy Peralta,18679,680.2
Jose Quintana,11423,675.6
Lance McCullers Jr.,14120,674.9
Caleb Smith,14875,669.8
Kenta Maeda,18498,664.15
Zac Gallen,19291,660.1
Mike Leake,10130,656.6
Shohei Ohtani,19755,655.7
Cole Hamels,4972,654.0
Jeff Samardzija,3254,652.95
Adrian Houser,12718,652.75
Nick Pivetta,15454,649.15
Madison Bumgarner,5524,647.4
Masahiro Tanaka,15764,644.7
Sandy Alcantara,18684,639.5
Jake Odorizzi,6397,639.1
Griffin Canning,19867,637.8
Chris Bassitt,12304,637.1
Jesus Luzardo,19959,634.4
Mike Foltynewicz,10811,634.4
Martin Perez,6902,631.95
Jakob Junis,13619,631.7
Rich Hill,4806,630.8
Julio Urias,14765,629.65
Pablo Lopez,17085,627.7
Nathan Eovaldi,9132,623.7
Marco Gonzales,15467,622.75
Danny Duffy,3542,622.7
Merrill Kelly,11156,622.1
Mitch Keller,17594,618.1
Anthony DeSclafani,13050,617.4
Michael Pineda,5372,614.4
Carlos Martinez,11682,611.65
Jon Lester,4930,611.3
Dylan Cease,18525,610.8
Brad Keller,15734,610.3
Spencer Turnbull,16207,609.45
Rick Porcello,2717,609.1
Tyler Anderson,12880,599.1
Jose Urquidy,18413,586.5
Reynaldo Lopez,16400,578.45
Tanner Roark,8753,575.8
Sean Newcomb,16943,572.25
Jake Arrieta,4153,570.4
Adam Wainwright,2233,567.5
Dakota Hudson,19206,566.3
Ross Stripling,13273,566.25
Homer Bailey,8362,559.4
Luke Weaver,16918,559.2
Austin Voth,15047,558.1
Yusei Kikuchi,20633,553.3
Josh Hader,14212,553.0
Andrew Cashner,8782,552.6
Dylan Bundy,12917,551.9
Jose Urena,11589,550.9
Liam Hendriks,3548,547.7
Anibal Sanchez,3284,542.6
Edwin Diaz,14710,542.4
Aroldis Chapman,10233,538.9
Mike Fiers,7754,535.55
Gio Gonzalez,7448,526.35
Daniel Norris,13475,526.0
Patrick Sandoval,19447,522.7
Sean Manaea,15873,521.0
Vince Velasquez,11189,520.05
Jordan Lyles,7593,518.25
Kirby Yates,9073,517.6
Trevor Williams,16977,512.8
Craig Kimbrel,6655,510.7
Alex Wood,13781,508.6
J.A. Happ,7410,506.5
Steven Brault,15291,505.4
Lewis Thorpe,15906,503.3
Alec Mills,13834,500.05
Logan Webb,17995,497.9
Trent Thornton,17948,493.5
Brett Anderson,8223,491.4
Ken Giles,12910,488.2
Jordan Yamamoto,17585,485.5
Jose Leclerc,14524,480.8
Zach Eflin,13774,480.3
Taylor Rogers,13449,478.9
Tyler Mahle,16358,478.65
Julio Teheran,6797,477.8
Corbin Burnes,19361,476.1
Yonny Chirinos,16401,475.15
Brandon Workman,11428,475.0
Kyle Freeland,16256,474.5
Roberto Osuna,13764,473.2
Emilio Pagan,14771,472.7
Joe Ross,12972,472.1
Mike Montgomery,4869,471.15
Kenley Jansen,3096,470.9
Brad Hand,9111,470.4
Domingo German,17149,469.5
Jimmy Nelson,10547,464.8
Matt Shoemaker,4776,464.1
Kevin Gausman,14107,463.0
Jhoulys Chacin,2608,461.9
Chase Anderson,6895,460.7
Wade Miley,8779,460.6
Hector Neris,11804,457.1
Alex Cobb,6562,456.1
Tyler Beede,16981,452.35
Archie Bradley,12918,447.7
Raisel Iglesias,17130,446.9
Giovanny Gallegos,14986,446.2
Michael Wacha,14078,440.6
Matt Moore,1890,439.0
John Means,16269,436.9
Zach Davies,13183,436.6
Tony Gonsolin,19388,436.6
Justus Sheffield,17285,432.0
Ryan Yarbrough,16502,428.1
Mark Melancon,4264,427.9
Ryne Stanek,15947,427.4
Joe Jimenez,15761,423.8
Jason Vargas,8044,423.05
Taijuan Walker,11836,419.2
Shaun Anderson,19453,417.4
Sean Doolittle,1581,416.7
Justin Dunn,19268,411.95
Randy Dobnak,23798,410.8
Elieser Hernandez,16933,407.25
Ryan Borucki,16350,406.9
Cal Quantrill,19312,406.6
Ian Kennedy,6986,406.0
Bryse Wilson,19990,405.05
Drew Smyly,11760,404.0
Matt Barnes,12863,401.9
Ivan Nova,1994,397.8
Kyle Crick,13182,397.8
Brendan McKay,20186,397.45
Kolby Allard,18694,397.0
Eric Lauer,19316,396.75
Alex Colome,6661,392.2
Mychal Givens,10430,388.4
Hansel Robles,11801,387.8
Jordan Zimmermann,4505,387.0
Scott Oberg,13911,386.7
Erik Swanson,16587,386.2
Will Smith,8048,383.8
Tyler Chatwood,4338,380.9
Nick Anderson,18337,367.4
Antonio Senzatela,15488,366.65
Jose Suarez,19911,366.2
Seth Lugo,12447,365.8
Dylan Covey,14825,365.2
Andres Munoz,20373,364.7
Tyson Ross,7872,364.3
Diego Castillo,17496,363.1
Jacob Waguespack,18318,361.65
Clay Buchholz,3543,360.9
Andrew Miller,6785,360.6
Walker Lockett,13804,358.6
Devin Smeltzer,19487,358.0
Rogelio Armenteros,17679,355.35
Ryan Pressly,7005,355.2
Keone Kela,14696,355.1
Jaime Barria,18356,354.8
Andrew Chafin,12988,353.8
Sam Tuivailala,13485,351.5
Brent Suter,13942,349.7
Brock Burke,17968,348.9
Jake Diekman,5003,346.3
Clayton Richard,3551,345.5
Peter Lambert,17969,345.0
Ty Buttrey,14719,343.1
Tommy Kahnle,11384,343.0
Joshua James,16794,341.5
Amir Garrett,14375,336.8
Tony Watson,3132,336.4
Adrian Sampson,13339,333.35
Joe Kelly,9761,331.8
Tanner Rainey,17610,330.9
Kendall Graveman,15514,328.7
Brian Johnson,14272,327.5
Chad Green,15552,327.1
Tyler Duffey,13758,325.9
Kevin Ginkel,19876,324.3
Aaron Bummer,16258,321.8
Matt Strahm,13799,319.5
Shane Greene,10756,319.3
Dereck Rodriguez,14509,317.35
Dean Kremer,sa876350,314.3
Adam Ottavino,1247,310.0
Jairo Diaz,12774,308.9
Zack Britton,3240,307.4
Matt Magill,3950,307.1
A.J. Puk,19343,306.3
Kyle Wright,19665,306.0
Justin Wilson,4301,305.4
Tyler Alexander,17735,299.6
Brusdar Graterol,20367,299.2
Rowan Wick,14646,297.2
Scott Barlow,14993,297.1
Chaz Roe,9866,296.9
Joakim Soria,6941,296.4
Trevor May,6398,296.3
Wander Suero,15855,294.0
Aaron Civale,19479,293.7
Will Harris,3192,292.9
Jace Fry,16159,292.6
Robbie Erlin,10354,291.65
Drew Pomeranz,11426,290.0
Luke Jackson,11752,289.0
Richard Rodriguez,13549,287.9
Anthony Kay,20387,286.0
Pedro Baez,5420,285.7
Dellin Betances,6216,284.3
Anthony Bass,7982,281.9
Carlos Estevez,14542,280.9
Chad Bettis,10587,280.0
John Gant,13684,278.5
Michael Fulmer,13218,278.5
Robert Stephenson,13594,277.3
Jose Alvarez,5358,276.9
Buck Farmer,14814,276.3
Alex Claudio,12890,276.1
Jeurys Familia,5114,275.8
Darwinzon Hernandez,19848,275.7
Brandon Brennan,13527,275.4
Seranthony Dominguez,19249,275.3
Kyle Ryan,11753,275.1
Blake Treinen,12572,275.0
Michael Lorenzen,14843,274.0
Brent Honeywell,sa828706,273.0
Yusmeiro Petit,4020,272.6
Hunter Harvey,15507,272.2
Cam Bedrosian,13360,272.1
Felix Hernandez,4772,272.05
Josh Taylor,17359,271.8
Junior Guerra,5702,270.8
Rafael Montero,12760,270.7
Brad Wieck,16390,268.7
Jesse Hahn,13287,268.7
Jarlin Garcia,18282,265.8
Chris Martin,11847,265.7
Matt Andriese,12022,264.9
Erick Fedde,17425,263.2
Yoan Lopez,17181,262.8
Craig Stammen,7274,262.0
Tayron Guerrero,11691,261.6
Roenis Elias,12673,261.3
Derek Holland,4141,258.95
Tim Hill,16814,257.6
Nick Wittgren,15594,257.3
Joseph Palumbo,17035,257.05
Francisco Liriano,3201,254.7
Colin Poche,19403,254.3
Nick Goody,13685,254.2
Trevor Gott,15046,254.2
Adam Kolarek,10843,253.1
Derek Law,13133,252.7
Hector Rondon,2391,251.8
Jandel Gustave,14665,251.6
David Bednar,19569,251.1
Daniel Hudson,7146,250.4
Jose Cisnero,6399,248.8
Alex Reyes,15015,248.5
Oliver Perez,1514,246.6
Michael Feliz,11903,244.2
Glenn Sparkman,15200,242.45
Jesse Chavez,5448,241.8
Adam Morgan,12580,241.7
Sam Dyson,11710,241.3
Emmanuel Clase,21032,241.2
Sam Coonrod,17264,241.0
Tyler Rogers,15541,240.2
Sergio Romo,9817,240.0
Marco Estrada,1118,238.1
Brad Peacock,5401,238.0
Framber Valdez,17295,237.8
Pedro Strop,4070,237.8
Dan Altavilla,16507,237.4
Lucas Sims,13470,235.0
John Brebbia,12777,234.3
Richard Bleier,7803,233.2
Chris Devenski,12763,232.7
Ljay Newsome,sa875837,232.2
Enyel De Los Santos,18403,232.1
Aaron Sanchez,11490,231.25
Chad Kuhl,14975,227.8
Oliver Drake,8823,227.7
Brandon Kintzler,9939,225.8
Tyler Clippard,5640,225.1
Conner Menez,19199,223.5
Jose Castillo,17169,221.6
Joe Smith,3281,221.2
Jerad Eickhoff,12664,220.8
Ross Detwiler,2859,219.95
Steve Cishek,6483,218.9
Daniel Mengden,16980,218.9
Touki Toussaint,16929,218.5
Evan Marshall,12297,218.3
Jeff Hoffman,17432,213.55
Robert Gsellman,13696,213.3
A.J. Cole,11467,212.25
Carson Fulmer,18311,211.1
Paul Fry,15832,211.0
Stefan Crichton,16058,210.8
Colin Rea,12317,209.0
Sam Gaviglio,12778,208.5
Keynan Middleton,15264,208.3
Nate Jones,4696,206.7
Jeff Brigham,16631,206.5
Kelvin Herrera,6033,206.4
Jose Alvarado,17780,205.2
Ryan Brasier,5615,204.9
Matt Harvey,11713,204.45
Wade Davis,7441,204.3
Sean Poppen,19583,203.2
Matt Bowman,13528,202.3
Yoshihisa Hirano,19756,201.6
Jimmy Cordero,15690,201.1
Dustin May,19716,200.3
Danny Salazar,5867,198.7
Taylor Williams,14899,198.6
Adam Conley,14457,198.1
Bryan Garcia,19457,197.6
Bernardo Flores,sa874080,197.5
Bryan Abreu,16609,196.4
Cody Stashak,18088,196.3
Asher Wojciechowski,10836,195.7
Luis Perdomo,14682,195.4
Kyle Keller,18890,194.8
Darren O'Day,3321,194.3
Chris Mazza,14151,193.5
Ray Black,14244,193.0
Anthony Swarzak,7466,192.9
Clay Holmes,13649,192.5
